,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,90,CA,1539309600,92,69.44,-133.03,23.0,10.29
1,Roura,0,GF,1539309600,100,4.73,-52.33,77.0,5.82
2,Ushuaia,75,AR,1539309600,45,-54.81,-68.31,48.2,8.05
3,Quimper,75,FR,1539311400,93,48.0,-4.1,60.8,16.11
4,Chokurdakh,80,RU,1539312101,93,70.62,147.9,23.18,3.71
5,Busselton,92,AU,1539312101,100,-33.64,115.35,62.73,12.44
6,Khatanga,0,RU,1539312101,84,71.98,102.47,24.35,14.56
7,Isangel,8,VU,1539312101,99,-19.55,169.27,76.73,8.63
8,Bambous Virieux,20,MU,1539309600,64,-20.34,57.76,71.6,12.75
9,Clyde River,40,CA,1539309600,73,70.47,-68.59,21.2,6.17
10,Dikson,80,RU,1539312102,100,73.51,80.55,32.0,20.83
11,Cabo San Lucas,5,MX,1539308580,73,22.89,-109.91,77.0,3.36
12,Mindelo,20,PT,1539309600,82,41.31,-8.72,62.6,14.99
13,Sitka,92,US,1539312102,83,37.17,-99.65,47.66,10.65
14,Albany,90,US,1539311220,87,42.65,-73.75,66.92,8.05
15,Esperance,20,TT,1539309600,83,10.24,-61.45,80.6,4.7
16,Punta Arenas,0,CL,1539309600,70,-53.16,-70.91,44.6,14.99
17,Novikovo,0,UA,1539312103,100,45.05,34.56,49.59,6.85
18,Kapaa,90,US,1539309360,74,22.08,-159.32,84.02,9.17
19,Hobart,75,AU,1539309600,62,-42.88,147.33,57.2,11.41
20,Marrakesh,0,MA,1539309600,77,31.63,-7.99,64.4,1.12
21,Siocon,32,PH,1539312104,100,11.03,124.04,84.2,6.96
22,Ballina,92,IE,1539312104,95,54.11,-9.15,54.09,35.03
23,Rikitea,92,PF,1539312104,100,-23.12,-134.97,70.92,13.22
24,Canby,1,US,1539309360,51,45.26,-122.69,62.96,2.15
25,Thompson,5,CA,1539309600,58,55.74,-97.86,24.8,4.94
26,Fortuna,0,ES,1539311400,93,38.18,-1.13,64.4,5.82
27,Vaini,0,IN,1539312105,58,15.34,74.49,79.88,2.71
